material_id,material_name,unit,current_stock,hist_daily_rate,seasonal_daily_rate,days_of_stock,net_requirement_4wk,target_order_qty,recommended_order_qty,moq,credit_constrained,unit_price_inr,estimated_order_value_inr,supplier_id,supplier_name,lead_time_days,payment_terms_days,reliability_score,projected_outstanding_inr,within_credit_cap,order_urgency,order_now,rationale
M01,Kraft Paper - Grade A (180 GSM),rolls,18,63.29,88.6,0.2,2462.94,1240.0,80,20,True,18790.32,1503225.75,SUP01,West Coast Paper Mills,7,30,0.92,2917610.75,True,CRITICAL,True,"Stock: 18 rolls | Daily demand: 88.6 rolls/day | Coverage: 0.2d | Lead time: 7d | MOQ: 20 rolls | ⚠️ Order scaled to credit headroom (₹1,585,615 remaining)"
M04,White Top Liner,rolls,30,58.57,82.0,0.4,2265.87,1230.0,25,25,True,16819.72,420493.05,SUP08,ITC Paper Division,8,30,0.91,3338103.8,False,CRITICAL,True,"Stock: 30 rolls | Daily demand: 82.0 rolls/day | Coverage: 0.4d | Lead time: 8d | MOQ: 25 rolls | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M05,Corrugating Medium,rolls,44,58.8,82.32,0.5,2261.01,1399.0,15,15,True,20711.98,310679.76,SUP02,BILT Graphic Paper,10,45,0.88,3228290.51,False,CRITICAL,True,"Stock: 44 rolls | Daily demand: 82.3 rolls/day | Coverage: 0.5d | Lead time: 10d | MOQ: 15 rolls | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M02,Kraft Paper - Grade B (150 GSM),rolls,55,68.95,96.53,0.6,2647.94,1351.0,20,20,True,24596.27,491925.41,SUP01,West Coast Paper Mills,7,30,0.92,3409536.15,False,CRITICAL,True,"Stock: 55 rolls | Daily demand: 96.5 rolls/day | Coverage: 0.6d | Lead time: 7d | MOQ: 20 rolls | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M03,Kraft Paper - Grade C (120 GSM),rolls,62,65.25,91.35,0.7,2495.68,1279.0,20,20,True,21172.04,423440.87,SUP01,West Coast Paper Mills,7,30,0.92,3341051.62,False,CRITICAL,True,"Stock: 62 rolls | Daily demand: 91.3 rolls/day | Coverage: 0.7d | Lead time: 7d | MOQ: 20 rolls | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M14,PP Strapping Band 16mm,rolls,70,57.41,80.38,0.9,2180.59,1045.0,20,20,True,22808.36,456167.23,SUP07,Supreme Industries,6,30,0.94,3373777.98,False,CRITICAL,True,"Stock: 70 rolls | Daily demand: 80.4 rolls/day | Coverage: 0.9d | Lead time: 6d | MOQ: 20 rolls | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M13,PP Strapping Band 12mm,rolls,85,55.66,77.93,1.1,2097.05,1013.0,20,20,True,21414.93,428298.61,SUP07,Supreme Industries,6,30,0.94,3345909.36,False,CRITICAL,True,"Stock: 85 rolls | Daily demand: 77.9 rolls/day | Coverage: 1.1d | Lead time: 6d | MOQ: 20 rolls | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M11,Ink - Black,kg,390,58.36,81.71,4.8,1897.8,1552.0,25,25,True,26880.07,672001.81,SUP05,Toyo Inks India,12,45,0.87,3589612.56,False,AT_RISK,True,"Stock: 390 kg | Daily demand: 81.7 kg/day | Coverage: 4.8d | Lead time: 12d | MOQ: 25 kg | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M12,Specialty Ink - Gold,kg,340,44.16,61.82,5.5,1390.88,1731.0,10,10,True,25746.24,257462.39,SUP06,Siegwerk India,21,60,0.82,3175073.14,False,AT_RISK,True,"Stock: 340 kg | Daily demand: 61.8 kg/day | Coverage: 5.5d | Lead time: 21d | MOQ: 10 kg | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M10,Ink - Magenta,kg,510,60.14,84.2,6.1,1847.64,1600.0,25,25,True,21089.42,527235.46,SUP05,Toyo Inks India,12,45,0.87,3444846.2,False,AT_RISK,True,"Stock: 510 kg | Daily demand: 84.2 kg/day | Coverage: 6.1d | Lead time: 12d | MOQ: 25 kg | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M09,Ink - Cyan,kg,480,49.61,69.46,6.9,1464.89,1320.0,25,25,True,26011.42,650285.56,SUP05,Toyo Inks India,12,45,0.87,3567896.31,False,AT_RISK,True,"Stock: 480 kg | Daily demand: 69.5 kg/day | Coverage: 6.9d | Lead time: 12d | MOQ: 25 kg | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M07,Adhesive PF-100 (Premium),kg,620,48.32,67.65,9.2,1274.13,812.0,100,100,True,24633.0,2463300.4,SUP03,Pidilite Industries Ltd,5,30,0.95,5380911.15,False,AT_RISK,False,"Stock: 620 kg | Daily demand: 67.6 kg/day | Coverage: 9.2d | Lead time: 5d | MOQ: 100 kg | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
M08,Starch Adhesive Powder,kg,920,63.66,89.13,10.3,1575.5,980.0,500,500,True,23088.6,11544300.5,SUP04,National Starch India,4,30,0.9,14461911.25,False,AT_RISK,False,"Stock: 920 kg | Daily demand: 89.1 kg/day | Coverage: 10.3d | Lead time: 4d | MOQ: 500 kg | ⚠️ Order scaled to credit headroom (₹82,389 remaining)"
